2022-02-28 17:06:33.905 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:06:39.081 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:06:39.083 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:06:44.238 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:06:44.241 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:06:49.387 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:06:49.389 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:06:54.557 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:06:54.560 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:06:59.726 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:06:59.729 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:04.923 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:04.924 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:10.076 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:10.078 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:15.277 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:15.279 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:20.471 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:07:20.473 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:07:25.648 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
